1.0.0:Activity
2.2.0:AntPlus.BikePowerListener
2.2.0:AntPlus.CalculatedCadence
2.2.0:AntPlus.CalculatedPower
2.2.0:AntPlus.CalculatedWheelDistance
2.2.0:AntPlus.CalculatedWheelSpeed
2.2.0:AntPlus.CommonData
2.2.0:AntPlus.Device
2.2.0:AntPlus.DeviceListener
2.2.0:AntPlus.DeviceState
2.2.0:AntPlus.LightNetwork
2.2.0:AntPlus.LightNetworkListener
2.2.0:AntPlus.ManufacturerInfo
2.2.0:AntPlus.PedalPowerBalance
2.2.0:AntPlus.ProductInfo
2.2.0:AntPlus.TorqueEffectivenessPedalSmoothness
2.2.0:Lang.SymbolNotAllowedException
2.2.0:PersistedContent
2.2.0:PersistedContent.Course
2.2.0:PersistedContent.Iterator
2.2.0:PersistedContent.Route
2.2.0:PersistedContent.Track
2.2.0:PersistedContent.Waypoint
2.2.0:PersistedContent.Workout
2.2.0:System.AppNotInstalledException
2.2.0:System.Intent
2.2.0:System.PreviousOperationNotCompleteException
2.2.0:System.UnexpectedAppTypeException
2.3.0:Ant.CryptoConfig
2.3.0:Ant.EncryptionInvalidSettingsException
2.3.0:Ant.UnableToAcquireEncryptedChannelException
2.3.0:Application.ObjectStoreAccessException
2.3.0:Background
2.3.0:Background.ExitDataSizeLimitException
2.3.0:Background.InvalidBackgroundTimeException
2.3.0:Background.MessageSizeLimitException
2.3.0:Graphics.BufferedBitmap
2.3.0:Graphics.InvalidBitmapResourceException
2.3.0:Graphics.InvalidPaletteException
2.3.0:Lang.InvalidOptionsException
2.3.0:Math.Filter
2.3.0:Math.FirFilter
2.3.0:Math.IirFilter
2.3.0:Sensor.AccelerometerData
2.3.0:Sensor.SensorData
2.3.0:Sensor.TooManySensorDataListenersException
2.3.0:SensorLogging
2.3.0:SensorLogging.SensorLogger
2.3.0:SensorLogging.SensorLoggingStats
2.3.0:System.ServiceDelegate
2.3.0:WatchUi.WatchFaceDelegate
2.3.0:WatchUi.WatchFacePowerInfo
2.4.0:AntPlus.FitnessEquipment
2.4.0:AntPlus.FitnessEquipmentData
2.4.0:AntPlus.FitnessEquipmentListener
2.4.0:AntPlus.FitnessEquipmentMode
2.4.0:AntPlus.ResistanceSettings
2.4.0:AntPlus.RunningDynamics
2.4.0:AntPlus.RunningDynamicsData
2.4.0:AntPlus.RunningDynamicsListener
2.4.0:AntPlus.SensorPosition
2.4.0:AntPlus.SimulationSettings
2.4.0:AntPlus.TargetPowerSettings
2.4.0:AntPlus.UserSettings
2.4.0:Application.Properties
2.4.0:Application.Properties.InvalidKeyException
2.4.0:Application.Storage
2.4.0:Lang.StorageFullException
2.4.2:Lang.SerializationException
3.0.0:AntPlus.BikeCadence
3.0.0:AntPlus.BikeCadenceInfo
3.0.0:AntPlus.BikeCadenceListener
3.0.0:AntPlus.BikeRadar
3.0.0:AntPlus.BikeRadarListener
3.0.0:AntPlus.BikeSpeed
3.0.0:AntPlus.BikeSpeedCadence
3.0.0:AntPlus.BikeSpeedCadenceInfo
3.0.0:AntPlus.BikeSpeedCadenceListener
3.0.0:AntPlus.BikeSpeedInfo
3.0.0:AntPlus.BikeSpeedListener
3.0.0:AntPlus.RadarTarget
3.0.0:Application.AudioContentProviderApp
3.0.0:Cryptography
3.0.0:Cryptography.Cipher
3.0.0:Cryptography.CipherBasedMessageAuthenticationCode
3.0.0:Cryptography.Hash
3.0.0:Cryptography.HashBasedMessageAuthenticationCode
3.0.0:Cryptography.InvalidBlockSizeException
3.0.0:Cryptography.Key
3.0.0:Cryptography.KeyAgreement
3.0.0:Cryptography.KeyPair
3.0.0:Lang.ByteArray
3.0.0:Lang.InvalidValueException
3.0.0:Lang.ValueOutOfBoundsException
3.0.0:Media
3.0.0:Media.ActiveContent
3.0.0:Media.AlbumArt
3.0.0:Media.AudioFormat
3.0.0:Media.CacheStatistics
3.0.0:Media.Content
3.0.0:Media.ContentDelegate
3.0.0:Media.ContentIterator
3.0.0:Media.ContentMetadata
3.0.0:Media.ContentRef
3.0.0:Media.ContentRefIterator
3.0.0:Media.PlaybackProfile
3.0.0:Media.ProviderIconInfo
3.0.0:Media.SyncDelegate
3.0.0:Sensor.HeartRateData
3.0.0:StringUtil.InvalidHexStringException
3.0.0:System.ConnectionInfo
3.0.0:WatchUi.CheckboxMenu
3.0.0:WatchUi.CheckboxMenuItem
3.0.0:WatchUi.CustomMenu
3.0.0:WatchUi.CustomMenuItem
3.0.0:WatchUi.IconMenuItem
3.0.0:WatchUi.InvalidMenuItemTypeException
3.0.0:WatchUi.InvalidPointException
3.0.0:WatchUi.MapMarker
3.0.0:WatchUi.MapPolyline
3.0.0:WatchUi.MapTrackView
3.0.0:WatchUi.MapView
3.0.0:WatchUi.Menu2
3.0.0:WatchUi.Menu2InputDelegate
3.0.0:WatchUi.MenuItem
3.0.0:WatchUi.ToggleMenuItem
3.0.11:Time.RealTimeClockNotValidException
3.0.3:Media.CustomButton
3.0.3:Media.PlayerColors
3.0.3:Media.SystemButton
3.1.0:AntPlus.AntPlusNotAllowedException
3.1.0:AntPlus.DerailleurStatus
3.1.0:AntPlus.Shifting
3.1.0:AntPlus.ShiftingListener
3.1.0:AntPlus.ShiftingStatus
3.1.0:Attention.ToneProfile
3.1.0:BluetoothLowEnergy
3.1.0:BluetoothLowEnergy.BleDelegate
3.1.0:BluetoothLowEnergy.Characteristic
3.1.0:BluetoothLowEnergy.Descriptor
3.1.0:BluetoothLowEnergy.Device
3.1.0:BluetoothLowEnergy.DevicePairException
3.1.0:BluetoothLowEnergy.InvalidRequestException
3.1.0:BluetoothLowEnergy.Iterator
3.1.0:BluetoothLowEnergy.ProfileRegistrationException
3.1.0:BluetoothLowEnergy.ScanResult
3.1.0:BluetoothLowEnergy.Service
3.1.0:BluetoothLowEnergy.Uuid
3.1.0:BluetoothLowEnergy.UuidFormatException
3.1.0:Communications.SyncDelegate
3.1.0:Lang.OperationNotAllowedException
3.1.0:WatchUi.AnimationDelegate
3.1.0:WatchUi.AnimationLayer
3.1.0:WatchUi.AnimationResource
3.1.0:WatchUi.GlanceView
3.1.0:WatchUi.GlanceViewDelegate
3.1.0:WatchUi.Layer
3.1.0:WatchUi.TextArea
3.2.0:Activity.ProfileInfo
3.2.0:Activity.WorkoutIntervalStep
3.2.0:Activity.WorkoutStep
3.2.0:Activity.WorkoutStepInfo
3.2.0:Sensor.SensorInfo
3.2.0:Sensor.SensorInfoIterator
3.2.0:WatchUi.DataFieldAlert
3.2.0:Weather
3.2.0:Weather.CurrentConditions
3.2.0:Weather.DailyForecast
3.2.0:Weather.HourlyForecast
3.2.1:Attention.BacklightOnTooLongException
3.2.7:Graphics.BoundingBox
3.3.0:Authentication
3.3.0:Authentication.Message
3.3.0:Authentication.OAuthMessage
3.3.0:Sensor.GyroscopeData
3.3.0:Sensor.MagnetometerData
3.3.0:Time.LocalMoment
3.3.0:UserProfile.UserActivity
3.3.0:UserProfile.UserActivityHistoryIterator
3.3.0:WatchUi.DragEvent
3.3.0:WatchUi.FlickEvent
3.4.0:WatchUi.ActionMenu
3.4.0:WatchUi.ActionMenuDelegate
3.4.0:WatchUi.ActionMenuItem
3.4.0:WatchUi.ViewLoop
3.4.0:WatchUi.ViewLoopDelegate
3.4.0:WatchUi.ViewLoopFactory
3.4.2:WatchUi.ReviewResponseToken
4.0.0:Graphics.BitmapReference
4.0.0:Graphics.BitmapTexture
4.0.0:Graphics.BufferedBitmapReference
4.0.0:Graphics.FontReference
4.0.0:Graphics.ResourceReference
4.2.0:Complications
4.2.0:Complications.Complication
4.2.0:Complications.ComplicationNotFoundException
4.2.0:Complications.Id
4.2.0:Complications.Iterator
4.2.0:Graphics.AffineTransform
4.2.1:Graphics.VectorFont
5.0.0:Graphics.OutOfGraphicsMemoryException
5.1.0:Application.WatchFaceConfig
5.1.0:Application.WatchFaceConfig.Color
5.1.0:Application.WatchFaceConfig.ComplicationRef
5.1.0:Application.WatchFaceConfig.Id
5.1.0:Application.WatchFaceConfig.Settings
5.1.0:Notifications
5.1.0:Notifications.NotificationMessage
5.1.0:Sensor.SensorDelegate
5.1.0:WatchUi.ComplicationDrawableRef
